#SampleID	Metaphlan2_Analysis
d__Archaea	6
d__Archaea|p__Thermoplasmatota	3
d__Archaea|p__Thermoplasmatota|c__Thermoplasmata	3
d__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184	3
d__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184|f__UBA184	3
d__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184|f__UBA184|g__	6
d__Archaea|p__Thermoproteota	3
d__Archaea|p__Thermoproteota|c__Bathyarchaeia	1
d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6	1
d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__40CM-2-53-6	1
d__Archaea|p__Thermoproteota|c__Bathyarchaeia|o__40CM-2-53-6|f__40CM-2-53-6|g__40CM-2-53-6	2
d__Archaea|p__Thermoproteota|c__Nitrososphaeria	2
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales	2
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae	2
d__Archaea|p__Thermoproteota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__TA-20	4
d__Bacteria	811
d__Bacteria|p__Acidobacteriota	270
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae	248
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15|f__20CM-2-55-15	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15|f__20CM-2-55-15|g__20CM-2-55-15	4
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales	105
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae	36
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__	12
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacterium_A	6
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter	12
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Palsa-288	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__PALSA-350	10
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__SBC82	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Silvibacterium	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Terracidiphilus	26
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Gp1-AA112	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Gp1-AA112|g__	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Gp1-AA112|g__Gp1-AA112	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Gp1-AA117	5
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Gp1-AA117|g__Gp1-AA17	10
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae	60
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__	42
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Bog-209	18
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Bog-257	6
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Gp1-AA133	10
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__PALSA-188	4
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__QIAJ01	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Sulfotelmatobacter	38
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__QIAW01	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__QIAW01|g__QIAW01	4
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales	41
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae	41
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__	8
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__BOG-234	4
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Palsa-187	42
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Palsa-89	12
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__PSRJ01	4
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__QHXW01	8
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Solibacter	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Sulfopaludibacter	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540|f__UBA7540	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540|f__UBA7540|g__	4
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541	98
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541	98
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__	42
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-189	4
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295	46
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-360	20
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__UBA7541	84
d__Bacteria|p__Acidobacteriota|c__Blastocatellia	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656|f__UBA7656	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656|f__UBA7656|g__	2
d__Bacteria|p__Acidobacteriota|c__Holophagae	1
d__Bacteria|p__Acidobacteriota|c__Holophagae|o__Holophagales	1
d__Bacteria|p__Acidobacteriota|c__Holophagae|o__Holophagales|f__Holophagaceae	1
d__Bacteria|p__Acidobacteriota|c__Holophagae|o__Holophagales|f__Holophagaceae|g__	2
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia	7
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8	2
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8	2
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__	4
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066	2
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__Gp7-AA6	2
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__Gp7-AA6|g__	2
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__Gp7-AA6|g__Gp7-AA6	2
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704	3
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704	3
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__UBA5704	6
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria	10
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria_A	3
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria_A|o__Fen-336	3
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria_A|o__Fen-336|f__Fen-336	3
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria_A|o__Fen-336|f__Fen-336|g__	6
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales	10
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__SCN-69-37	4
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__SCN-69-37|g__	6
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__SCN-69-37|g__SYFT01	2
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999	6
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__	6
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__2-02-FULL-65-29	2
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__Gp6-AA45	4
d__Bacteria|p__Actinobacteriota	97
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia	12
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales	11
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__GCA-2861595	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__GCA-2861595|g__	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Palsa-688	4
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Palsa-688|g__	6
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Palsa-688|g__PALSA-693	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2	5
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__	4
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Bog-473	4
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Bog-756	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8190	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8190|g__	2
